와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,스타일,양조,숙성
"테누타 카스테아니, 마루조","Tenuta Casteani, Marujo",https://www.wine21.com/13_search/wine_view.html?Idx=165232&lq=LIST,테누타 카스테아니   Tenuta Casteani,이탈리아(Italy) / 토스카나(Toscana),시라/쉬라즈 (Syrah/Shiraz),,,17~19 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,,1/5,3/5,4/5,4/5,,양갈비,,,
"키메라 달베냐 , 카레트라","Chimera d'Albegna, Caletra",https://www.wine21.com/13_search/wine_view.html?Idx=165233&lq=LIST,키메라 달베냐   Chimera d'Albegna,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 족발, 라자냐, 파스타, 한국음식 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,,,,,
"아그리지오 소시에타 아그리콜라, 로쏘 디 몬테풀치아노","Agrigeo Societa Agricola S.S., Rosso di Montepulciano",https://www.wine21.com/13_search/wine_view.html?Idx=165234&lq=LIST,아그리지오 소시에타 아그리콜라   Agrigeo Societa Agricola S.S.,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,,17~19 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",,,1/5,4/5,3/5,2/5,,족발,,,
"아그리지오 소시에타 아그리콜라, 비노 노빌레 디 몬테풀치아노","Agrigeo Societa Agricola S.S., Vino Nobile di Montepulciano",https://www.wine21.com/13_search/wine_view.html?Idx=165235&lq=LIST,아그리지오 소시에타 아그리콜라   Agrigeo Societa Agricola S.S.,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,,16~18 ℃,"붉은육류, 바비큐, 소시지, 꼬치구이, 훈제오리, 파스타, 피자, 다양한 치즈와 잘 어울린다.",,,1/5,4/5,4/5,3/5,,"붉은육류, 훈제오리, 치즈",,,
"아그리지오 소시에타 아그리콜라, 비노 노빌레 디 몬테풀치아노 700","Agrigeo Societa Agricola S.S., Vino Nobile di Montepulciano 700",https://www.wine21.com/13_search/wine_view.html?Idx=165236&lq=LIST,아그리지오 소시에타 아그리콜라   Agrigeo Societa Agricola S.S.,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),,,16~18 ℃,"붉은육류, 바비큐, 소시지, 꼬치구이, 훈제오리, 파스타, 피자, 다양한 치즈와 잘 어울린다.",,,1/5,4/5,3/5,3/5,,"붉은육류, 훈제오리, 치즈",,,
"아그리지오 소시에타 아그리콜라, 레젠다","Agrigeo Societa Agricola S.S., Leggenda",https://www.wine21.com/13_search/wine_view.html?Idx=165237&lq=LIST,아그리지오 소시에타 아그리콜라   Agrigeo Societa Agricola S.S.,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 메를로 (Merlot) / 시라/쉬라즈 (Syrah/Shiraz) / 카베르네 소비뇽 (Cabernet Sauvignon),,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",,,1/5,3/5,3/5,2/5,,족발,,,
"아그리지오 소시에타 아그리콜라, 이리페티빌레","Agrigeo Societa Agricola S.S., Irripetibile",https://www.wine21.com/13_search/wine_view.html?Idx=165238&lq=LIST,아그리지오 소시에타 아그리콜라   Agrigeo Societa Agricola S.S.,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot) / 카베르네 소비뇽 (Cabernet Sauvignon),,,17~19 ℃,"붉은육류, 바비큐, 소시지, 꼬치구이, 훈제오리, 파스타, 피자, 다양한 치즈와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"붉은육류, 훈제오리, 치즈",,,
"칸티나 가피노, 로마","Cantina Gaffino, Roma",https://www.wine21.com/13_search/wine_view.html?Idx=165239&lq=LIST,칸티나 가피노  Cantina Gaffino,이탈리아(Italy) / 라치오(Lazio) / 로마(Roma),몬테풀치아노 (Montepulciano) 85% / 산지오베제 (Sangiovese) 10% / 쁘띠 베르도 (Petit Verdot) 5%,Roma DOC(DOP),14~5 %,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 양고기, 훈제오리, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",* 2019 빈티지 : Luca Maroni 91점* 2017 빈티지 : Robert Parker Jr. (Wine Advocate) 92점* WinesCritic.com 92점,모멘텀와인컴퍼니,1/5,4/5,5/5,4/5,"블랙체리, 블랙베리, 체리, 라스베리, 자두, 배, 붉은꽃, 후추, 바닐라, 정향, 말린허브","그릴요리, 스테이크, 붉은육류, 양고기, 훈제오리, 육포, 양념갈비, 갈비찜, 라자냐, 파스타, 자두, 치즈, 에뿌아쓰, 로크포르, 블루치즈, 스모크",Central Italy Red,"유기농법 재배 100% 손 수확, 스테인리스 탱크 12시간 추출","100% 젖산 발효 이후 12개월 오크 숙성, 병입 후 6개월 추가 숙성 후 출시"
"칸티나 가피노, 오피미암","Cantina Gaffino, Opimiam",https://www.wine21.com/13_search/wine_view.html?Idx=165240&lq=LIST,칸티나 가피노  Cantina Gaffino,이탈리아(Italy) / 라치오(Lazio),시라/쉬라즈 (Syrah/Shiraz),,,17~19 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 오리고기, 치킨, 숙성 치즈와 잘 어울린다.",,,1/5,3/5,4/5,3/5,,"바비큐, 양념갈비, 치즈",,,
"칸티나 가피노, 포제타","Cantina Gaffino, Fojetta",https://www.wine21.com/13_search/wine_view.html?Idx=165241&lq=LIST,칸티나 가피노  Cantina Gaffino,이탈리아(Italy) / 라치오(Lazio),비오니에 (Viognier) 100%,Lazio IGT(IGP),13~14 %,10~12 ℃,"스시, 회, 해산물, 조개, 다양한 치즈, 하몽, 프로슈토, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",* WinesCritic.com 91점,모멘텀와인컴퍼니,1/5,3/5,2/5,1/5,"백도, 복숭아, 서양배, 사과, 오렌지, 레몬, 파인애플, 흰꽃, 꽃, 미네랄, 허브","하몽, 광어, 스시, 생선회, 농어, 연어, 참치, 소라, 해산물, 랍스터, 조개구이, 새우, 킹크랩, 파스타, 동남아요리, 아시아요리, 샐러드, 복숭아, 치즈",Northern Italy White,"유기농법 재배, 100% 손 수확, 스테인리스 탱크에서 48시간 침용",12일 간 발효 진행 후 젖산 발효 없이 병입
"인세라타 오가닉 팜 , 인트리고 올가닉 화이트","Inserrata Organic Farm, Intrigo Organic White",https://www.wine21.com/13_search/wine_view.html?Idx=165242&lq=LIST,인세라타 오가닉 팜   Inserrata Organic Farm,이탈리아(Italy) / 토스카나(Toscana),샤르도네 (Chardonnay) 100%,,,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,"바비큐, 수육, 탕수육, 치즈",,,
"인세라타 오가닉 팜, 인다코 올가닉 로제","Inserrata Organic Farm, Indaco Organic Rose",https://www.wine21.com/13_search/wine_view.html?Idx=165243&lq=LIST,인세라타 오가닉 팜   Inserrata Organic Farm,이탈리아(Italy) / 토스카나(Toscana),메를로 (Merlot) 70% / 산지오베제 (Sangiovese) 30%,,,12~14 ℃,"돼지고기, 닭고기, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,,1/5,2/5,2/5,1/5,,"닭고기, 치즈",,,
"인세라타 오가닉 팜, 이네브리언트 올가닉 로제","Inserrata Organic Farm, Inebriant Organic Rose",https://www.wine21.com/13_search/wine_view.html?Idx=165244&lq=LIST,인세라타 오가닉 팜   Inserrata Organic Farm,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),,,12~14 ℃,"돼지고기, 닭고기, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,"닭고기, 치즈",,,
"인세라타 오가닉 팜, 이누수알레 올가닉 화이트","Inserrata Organic Farm, Inusuale Organic White",https://www.wine21.com/13_search/wine_view.html?Idx=165245&lq=LIST,인세라타 오가닉 팜   Inserrata Organic Farm,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),,,10~12 ℃,"닭고기, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,"닭고기, 치즈",,,
"라 과르디올라, 키안티 리제르바","La Guardiola, Chianti Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=165246&lq=LIST,라 과르디올라  La Guardiola,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese),,,16~18 ℃,"돼지고기, 바비큐, 소시지, 꼬치구이, 훈제오리, 파스타, 피자, 다양한 치즈와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"훈제오리, 치즈",,,
"라 과르디올라, 과르디올라 로쏘","La Guardiola, Guardiola Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=165247&lq=LIST,라 과르디올라  La Guardiola,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 시라/쉬라즈 (Syrah/Shiraz) / 쁘띠 베르도 (Petit Verdot),,,17~19 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,,1/5,3/5,3/5,4/5,,양갈비,,,
"라 과르디올라, 센소 우니코","La Guardiola, Senso Unico",https://www.wine21.com/13_search/wine_view.html?Idx=165248&lq=LIST,라 과르디올라  La Guardiola,이탈리아(Italy) / 토스카나(Toscana),시라/쉬라즈 (Syrah/Shiraz) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot),,,17~19 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,,1/5,3/5,4/5,4/5,,양갈비,,,
"라 과르디올라, 올란도","La Guardiola, Orlando",https://www.wine21.com/13_search/wine_view.html?Idx=165249&lq=LIST,라 과르디올라  La Guardiola,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) 100%,,,16~18 ℃,"돼지고기, 바비큐, 소시지, 꼬치구이, 훈제오리, 파스타, 피자, 다양한 치즈와 잘 어울린다.",,,1/5,4/5,3/5,3/5,,"훈제오리, 치즈",,,
"마쎄리아 란졸라, 샤르도네","Masseria Lanzolla, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=165250&lq=LIST,마쎄리아 란졸라   Masseria Lanzolla,이탈리아(Italy) / 바실리카타(Basilicata),샤르도네 (Chardonnay),Basilicata IGT(IGP),,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,,"바비큐, 수육, 탕수육, 치즈",,,
"마쎄리아 란졸라, 루쎄리오","Masseria Lanzolla, Lucerio",https://www.wine21.com/13_search/wine_view.html?Idx=165251&lq=LIST,마쎄리아 란졸라   Masseria Lanzolla,이탈리아(Italy) / 바실리카타(Basilicata),메를로 (Merlot) / 네그로아마로 (Negroamaro),Basilicata IGT(IGP),,17~19 ℃,"붉은육류, 로스트비프, 스테이크, 양갈비, 양고기, 살라미, 파스타 등과 잘 어울린다.",,,1/5,3/5,3/5,4/5,,"살라미, 파스타",,,
"마쎄리아 란졸라, 모나데","Masseria Lanzolla, Monade",https://www.wine21.com/13_search/wine_view.html?Idx=165252&lq=LIST,마쎄리아 란졸라   Masseria Lanzolla,이탈리아(Italy) / 바실리카타(Basilicata),알리아니코 (Aglianico),Basilicata IGT(IGP),,17~19 ℃,"붉은육류, 스테이크, 그릴요리, 바비큐, 양고기, 라자냐, 리조또, 파스타, 다양한 치즈와 잘 어울린다.",,,2/5,2/5,5/5,3/5,,"바비큐, 양고기, 치즈",,,
"마쎄리아 란졸라, 몬스 알비우스","Masseria Lanzolla, Mons Albius",https://www.wine21.com/13_search/wine_view.html?Idx=165253&lq=LIST,마쎄리아 란졸라   Masseria Lanzolla,이탈리아(Italy) / 바실리카타(Basilicata),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot),Matera DOC(DOP),,17~19 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,,"양갈비, 치즈",,,
"마쎄리아 란졸라, 프리메바체","Masseria Lanzolla, Primebacche",https://www.wine21.com/13_search/wine_view.html?Idx=165254&lq=LIST,마쎄리아 란졸라   Masseria Lanzolla,이탈리아(Italy) / 바실리카타(Basilicata),프리미티보 (Primitivo),Matera DOC(DOP),,17~19 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",,,2/5,2/5,5/5,3/5,,"살라미, 견과류, 치즈",,,
"마쎄리아 란졸라, 로사토","Masseria Lanzolla, Rosato",https://www.wine21.com/13_search/wine_view.html?Idx=165255&lq=LIST,마쎄리아 란졸라   Masseria Lanzolla,이탈리아(Italy) / 바실리카타(Basilicata),네그로아마로 (Negroamaro),Basilicata IGT(IGP),,12~14 ℃,"돼지고기, 닭고기, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,"닭고기, 치즈",,,
"몬나 카테리나, 수퍼 투스칸","Monna Caterina, Super Tuscan",https://www.wine21.com/13_search/wine_view.html?Idx=165256&lq=LIST,몬나 카테리나   Monna Caterina,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 족발, 라자냐, 파스타와 잘 어울린다.",,,1/5,3/5,4/5,4/5,,족발,,,
"테누타 몬테 고르나, 잔쿠 디 카르펜","Tenuta Monte Gorna, Jancu di Carpene",https://www.wine21.com/13_search/wine_view.html?Idx=165257&lq=LIST,테누타 몬테 고르나  Tenuta Monte Gorna,이탈리아(Italy) / 시칠리아(Sicilia),카리칸테 (Carricante) 60% / 카타라토 (Catarratto) 40%,,,16~18 ℃,"전채요리, 흰살생선, 생선구이, 삼겹살, 오겹살, 항정살, 수육, 파스타, 피자와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"수육, 전채요리",,,
"테누타 몬테 고르나, 아키스 로사토","Tenuta Monte Gorna, Akis Rosato",https://www.wine21.com/13_search/wine_view.html?Idx=165258&lq=LIST,테누타 몬테 고르나  Tenuta Monte Gorna,이탈리아(Italy) / 시칠리아(Sicilia),네렐로 마스칼레제 (Nerello Mascalese) 100%,,,17~19 ℃,"스테이크, 양갈비, 그릴요리, 바비큐, 훈제오리, 육포, 초리조, 프로슈토, 난자완스, 불고기, 족발, 파스타와 잘 어울린다.",,,1/5,4/5,3/5,3/5,,"바비큐, 양갈비, 훈제오리, 파스타, 난자완스",,,
"테누타 몬테 고르나, 루쑤 디 카르펜","Tenuta Monte Gorna, Russu di Carpene",https://www.wine21.com/13_search/wine_view.html?Idx=165259&lq=LIST,테누타 몬테 고르나  Tenuta Monte Gorna,이탈리아(Italy) / 시칠리아(Sicilia),네렐로 마스칼레제 (Nerello Mascalese) 80% / 네렐로 카푸치오 (Nerello Cappuccio) 20%,,,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 양고기, 양갈비, 버섯, 리조토, 파스타 와 잘 어울린다.",,,1/5,4/5,2/5,2/5,,버섯,,,
"테누타 몬테 고르나, 아키스 인 바리끄","Tenuta Monte Gorna, Akis in Barrique",https://www.wine21.com/13_search/wine_view.html?Idx=165260&lq=LIST,테누타 몬테 고르나  Tenuta Monte Gorna,이탈리아(Italy) / 시칠리아(Sicilia),네렐로 마스칼레제 (Nerello Mascalese) 80% / 네렐로 카푸치오 (Nerello Cappuccio) 20%,,,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 양고기, 양갈비, 버섯, 리조토, 파스타 와 잘 어울린다.",,,1/5,4/5,3/5,2/5,,버섯,,,
"리날디 비니, 첼레","Rinaldi Vini, Celle",https://www.wine21.com/13_search/wine_view.html?Idx=165263&lq=LIST,리날디 비니  Rinaldi Vini,이탈리아(Italy) / 피에몬테(Piemonte),카베르네 소비뇽 (Cabernet Sauvignon),,,17~19 ℃,"붉은 육류, 양념갈비, 갈비찜, 불고기, 파스타, 버섯, 치즈, 한국음식 과 잘 어울린다.",,,1/5,3/5,4/5,3/5,,"파스타, 버섯, 치즈",,,
"산드로 데 브루노, 가르가네가","Sandro De Bruno, Soave DOC garganega",https://www.wine21.com/13_search/wine_view.html?Idx=165264&lq=LIST,산드로 데 브루노  Sandro De Bruno,이탈리아(Italy) / 베네토(Veneto) / 소아베(Soave),가르가네가 (Garganega),Soave DOC(DOP),,10~12 ℃,"스시, 회, 다양한 치즈, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",,,1/5,4/5,1/5,1/5,,"스시, 파스타, 치즈",,,
아솔로 브뤼,Asolo Brut,https://www.wine21.com/13_search/wine_view.html?Idx=165265&lq=LIST,비냐 싱쿠에 마조   Vigna Sinque Majo S.S.,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera),,,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,
아솔로 드라이 밀레지마토,Asolo Dry Millesimato,https://www.wine21.com/13_search/wine_view.html?Idx=165266&lq=LIST,비냐 싱쿠에 마조   Vigna Sinque Majo S.S.,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera),,,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,
아솔로 엑스트라 브뤼,Asolo Extra Brut,https://www.wine21.com/13_search/wine_view.html?Idx=165267&lq=LIST,비냐 싱쿠에 마조   Vigna Sinque Majo S.S.,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera),,,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,
아솔로 엑스트라 드라이,Asolo Extra Dry,https://www.wine21.com/13_search/wine_view.html?Idx=165268&lq=LIST,비냐 싱쿠에 마조   Vigna Sinque Majo S.S.,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera),,,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,
산 파테르니아노,San Paterniano,https://www.wine21.com/13_search/wine_view.html?Idx=165269&lq=LIST,테누타 마떼이  Tenuta Mattei SRL,이탈리아(Italy) / 마르케(Marche),베르디키오 비앙코 (Verdicchio Bianco),,,10~12 ℃,"흰살생선, 생선구이, 새우, 해산물, 건육, 프로슈토, 다양한 치즈, 파스타 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,"파스타, 치즈",,,
브레치오네,Breccione,https://www.wine21.com/13_search/wine_view.html?Idx=165270&lq=LIST,테누타 마떼이  Tenuta Mattei SRL,이탈리아(Italy) / 마르케(Marche),베르디키오 비앙코 (Verdicchio Bianco),,,10~12 ℃,"흰살생선, 생선구이, 새우, 해산물, 건육, 프로슈토, 다양한 치즈, 파스타 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,"파스타, 치즈",,,
모로,Morro,https://www.wine21.com/13_search/wine_view.html?Idx=165271&lq=LIST,테누타 마떼이  Tenuta Mattei SRL,이탈리아(Italy) / 마르케(Marche),라크리마 (Lacrima),,,16~18 ℃,"스테이크, 바비큐, 치즈, 불고기, 자장면, 리조토, 라자냐, 파스타와 잘 어울린다.",,,1/5,3/5,4/5,3/5,,"스테이크, 바비큐, 불고기, 자장면, 치즈",,,
