와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,기타정보,등급
"보데가스 까레, 산타 크루즈 세인트 폴","Bodegas Care, Santa Cruz Saint Paul",https://www.wine21.com/13_search/wine_view.html?Idx=171584&lq=LIST,보데가스 카레  Bodegas Care,스페인(Spain) / 까리네냐(Carinena),가르나차  (Garnacha) 100%,,,아메리칸 오크통에서 8개월간 숙성,16~18 ℃,"구운 붉은 육류 요리와 잘 어울리며, 치즈가 들어간 음식 등과 잘 어울린다.",레뱅,1/5,3/5,4/5,3/5,,치즈,14.5 %,,
"보데가스 까레, 산타 크루즈 세인트 피터","Bodegas Care, Santa Cruz Saint Peter",https://www.wine21.com/13_search/wine_view.html?Idx=171585&lq=LIST,보데가스 카레  Bodegas Care,스페인(Spain) / 까리네냐(Carinena),까리냥 (Carignan/Carignane) 100%,,,오크통에서 8개월간 숙성,16~18 ℃,"양고기, 육류, 치즈 등과 잘 어울리며 삼겹살, 등갈비 등과 잘 어울린다.",레뱅,1/5,4/5,4/5,3/5,"자두, 토스트","삼겹살, 양고기, 자두, 치즈",14 %,,
"보데가스 까레, 산타 크루즈 세인트 마커스","Bodegas Care, Santa Cruz Saint Marcus",https://www.wine21.com/13_search/wine_view.html?Idx=171586&lq=LIST,보데가스 카레  Bodegas Care,스페인(Spain) / 까리네냐(Carinena),템프라니요 (Tempranillo) 75% / 가르나차  (Garnacha) 25%,,,,16~18 ℃,"양고기, 육류, 치즈 등과 잘 어울리며 삼겹살, 등갈비 등과 잘 어울린다.",,2/5,3/5,4/5,3/5,체리,"삼겹살, 양고기, 치즈",13.5 %,,
"보데가스 까레, 산타 크루즈 세인트 존","Bodegas Care, Santa Cruz Saint John",https://www.wine21.com/13_search/wine_view.html?Idx=171587&lq=LIST,보데가스 카레  Bodegas Care,스페인(Spain) / 까리네냐(Carinena),가르나차  (Garnacha) 50% / 시라/쉬라즈 (Syrah/Shiraz) 40% / 카베르네 소비뇽 (Cabernet Sauvignon) 10%,,,,16~18 ℃,"구운 붉은 육류 요리와 잘 어울리며, 치즈가 들어간 음식 등과 잘 어울린다.",레뱅,1/5,4/5,4/5,3/5,,치즈,14 %,,
"뻬레 벤뚜라, 까바 브륏 레세르바 아트 에디션 블루","Pere Ventura, Cava Brut Reserva Art Edition Blue",https://www.wine21.com/13_search/wine_view.html?Idx=171588&lq=LIST,뻬레 벤뚜라   Pere Ventura,스페인(Spain) / 페네데스(Penedes),자렐로 (Xarel.lo) 35% / 빠레야다 (Parellada) 35% / 마카베오 (Macabeo) 30%,,,,8~10 ℃,"식전주, 야채 타르트, 시저 샐러드 브런치 등과 잘 어울린다.",레뱅,3/5,4/5,3/5,1/5,아몬드,"식전주, 타르트",11.5 %,*2018 Berliner Wein Trophy 금메달*2017 Concours Mondial de Bruxelles 은메달*2017 Wine Expo Poland Consumer's Award  금메달*2016 대한민국 주류대상 스파클링와인 부문 대상 수상*2016 Korea Wine Challenge 2016 은메달*2016 Berliner Wein Trophy 은메달,
"뻬레 벤뚜라, 까바 브륏 레세르바 아트 에디션 화이트","Pere Ventura, Cava Brut Reserva Art Edition White",https://www.wine21.com/13_search/wine_view.html?Idx=171589&lq=LIST,뻬레 벤뚜라   Pere Ventura,스페인(Spain) / 페네데스(Penedes),자렐로 (Xarel.lo) 35% / 빠레야다 (Parellada) 35% / 마카베오 (Macabeo) 30%,,,,8~10 ℃,"식전주, 야채 타르트, 시저 샐러드 브런치 등과 잘 어울린다.",,2/5,4/5,3/5,1/5,아몬드,"식전주, 타르트",11.5 %,*2018 Berliner Wein Trophy 금메달*2017 Concours Mondial de Bruxelles 은메달*2017 Wine Expo Poland Consumer's Award  금메달*2016 대한민국 주류대상 스파클링와인 부문 대상 수상*2016 Korea Wine Challenge 2016 은메달*2016 Berliner Wein Trophy 은메달,
"슈미트 숀, 블루 리슬링 아우스레제","Schmitt Sohne, Blue Riesling Auslese",https://www.wine21.com/13_search/wine_view.html?Idx=171590&lq=LIST,슈미트 숀  Schmitt Sohne,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling) 100%,,,,8~10 ℃,"치즈, 과일, 디저트의 맛을 완성시켜주는 역할을 하며, 양념이 강한 한식 등과 잘 어울린다.",레뱅,2/5,3/5,2/5,1/5,꿀,"한식, 과일, 치즈, 디저트",8 %,,
패트리셔스 토카이 푸르민트,Patricius Tokaji Furmint,https://www.wine21.com/13_search/wine_view.html?Idx=171591&lq=LIST,패트리셔스 토카이   Patricius Tokaji,헝가리(Hungary) / 더 노스이스트(The Northeast) / 토카이-헤갈라야(Tokaj-Hegyalja),푸르민트 (Furmint) 100%,,,,8~10 ℃,"돼지고기 요리, 아시아풍 요리 등과 잘 어울린다.",레뱅,1/5,3/5,2/5,1/5,"복숭아, 미네랄, 민트, 아몬드",복숭아,12.5 %,"* 2018 International Wine Challenge: Bronze* International Wine Challenge, 2017: Bronze* Decanter World Wine Awards, 2017: Bronze",
로쉐 마제 그르나슈,Roche Mazet Grenache,https://www.wine21.com/13_search/wine_view.html?Idx=171592&lq=LIST,카스텔  CASTEL [Groupe CASTEL],프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 (Grenache) 100%,,전체 양조 과정에 스테인리스 스틸을 사용,,16~18 ℃,"삼겹살, 바비큐 등의 육류 소금구이부터 불고기, 갈비와 같은 양념된 육류 메뉴까지 모두 잘 어울리며, 간단하게는 맛과 향이 진한 치즈 등과 잘 어울린다.",레뱅,1/5,3/5,4/5,3/5,체리,"불고기, 치즈",12 %,,
끌로 뒤 발 레드 블렌드,Clos Du Val Red Blend,https://www.wine21.com/13_search/wine_view.html?Idx=171593&lq=LIST,끌로 뒤발  Clos Du Val,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) 58% / 말벡 (Malbec) 37% / 쁘띠 베르도 (Petit Verdot) 5%,,,프렌치 오크에서 7개월 숙성,16~18 ℃,"스테이크, 로스트한 육류, 소스가 가미된 요리, 스튜, 숙성 치즈 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,"자두, 감초, 초콜릿",치즈,14.4 %,,
앙또냉 귀용 쥐브리 샹베르땅 '카루조',Antonin Guyon Gevrey Chambertin 'Carougeot',https://www.wine21.com/13_search/wine_view.html?Idx=171594&lq=LIST,앙또냉 기용  Antonin Guyon [Domaine Antonin Guyon],프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir) 100%,,,18개월 오크 베럴 숙성 (33% New Oak),16~18 ℃,"양고기, 소고기, 스튜 등 육류 및 치즈 등과 잘 어울린다.",,1/5,4/5,4/5,3/5,"체리, 미네랄","양고기, 치즈",13 %,,
앙또냉 귀용 본 '끌로 드 라 숌므 고프리오' 모노폴,Antonin Guyon Beaune 'Clos de la Chaume Gaufriot' Monopole,https://www.wine21.com/13_search/wine_view.html?Idx=171595&lq=LIST,앙또냉 기용  Antonin Guyon [Domaine Antonin Guyon],프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir) 100%,,,18개월 오크 베럴 숙성 (25% New Oak),14~16 ℃,"돼지고기, 소고기 등 육류 및 오일 파스타 등과 잘 어울린다.",레뱅,1/5,3/5,2/5,2/5,,"소고기, 파스타",13 %,,
앙또냉 귀용 볼네 프리미에 크뤼 끌로 데 셴느,Antonin Guyon Volnay Premier Cru Clos des Chenes,https://www.wine21.com/13_search/wine_view.html?Idx=171596&lq=LIST,앙또냉 기용  Antonin Guyon [Domaine Antonin Guyon],프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir) 100%,,,18개월 오크 베럴 숙성 (40% New Oak),14~16 ℃,"양념 베이스 육류, 치즈 등과 잘 어울린다.",레뱅,1/5,3/5,2/5,2/5,오크,치즈,13 %,,
스윙 쉬라즈,Swing Shiraz,https://www.wine21.com/13_search/wine_view.html?Idx=171597&lq=LIST,부티노  Boutinot,호주(Australia) / 사우스 오스트레일리아(South Australia),시라/쉬라즈 (Syrah/Shiraz) 100%,,,,16~18 ℃,붉은 육류 요리나 강한 체다 치즈 등과 잘 어울린다.,레뱅,1/5,2/5,4/5,4/5,"블랙베리, 바닐라",,14 %,,
"라포스톨, 끌로 뒤 리칸","Lapostolle, Clos Du Lican",https://www.wine21.com/13_search/wine_view.html?Idx=171598&lq=LIST,라포스톨 [까사 라포스톨]  Lapostolle [Casa Lapostolle],칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley) / 아팔타 밸리(Apalta Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,,,,16~18 ℃,"돼지갈비, 스테이크, 갈비찜 등 다양한 육류 요리 등과 잘 어울린다.",레뱅,1/5,2/5,4/5,5/5,블랙베리,"스테이크, 돼지, 갈비찜",15~16 %,,
"우마니 론끼, 비고르 화이트","Umani Ronchi, Vigor White",https://www.wine21.com/13_search/wine_view.html?Idx=171599&lq=LIST,우마니론끼  Umani Ronchi,이탈리아(Italy) / 마르케(Marche),파세리나 (Passerina) 100%,,,,8~10 ℃,"파스타, 채소가 들어가 있는 리조또, 흰 육류, 섬세한 해산물 요리 등과 잘 어울린다.",레뱅,1/5,3/5,2/5,1/5,허브,"해산물, 채소",12 %,,
"발레벨보, 르필레르 모스까또 다스띠 D.O.C.G","Vallebelbo, Le Pilere Moscato D'Asti D.O.C.G",https://www.wine21.com/13_search/wine_view.html?Idx=171601&lq=LIST,발레벨보  Vallebelbo,이탈리아(Italy) / 피에몬테(Piemonte),모스카토  (Moscato ) 100%,,,,8~10 ℃,"비스킷, 과일 셀러드 등 각종 디저트 류 등과 잘 어울린다.",레뱅,1/5,4/5,2/5,1/5,꿀,"과일, 디저트",5.5 %,,
"발레벨보, 피에몬테 모스까또 D.O.C","Vallebelbo, Piemonte Moscato D.O.C",https://www.wine21.com/13_search/wine_view.html?Idx=171602&lq=LIST,발레벨보  Vallebelbo,이탈리아(Italy) / 피에몬테(Piemonte),모스카토  (Moscato ) 100%,,,,8~10 ℃,비스킷 등 각종 디저트 류 등과 잘 어울린다.,레뱅,2/5,3/5,2/5,1/5,꿀,디저트,5 %,,
"브레짜, 바롤로 깐누비","Brezza, Barolo Cannubi",https://www.wine21.com/13_search/wine_view.html?Idx=171603&lq=LIST,브레짜  Brezza,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo) / 칸누비(Cannubi),네비올로 (Nebbiolo) 100%,,,,16~18 ℃,미디움 레어 스테이크 등과 잘 어울린다.,레뱅,1/5,3/5,3/5,2/5,"미네랄, 가죽",스테이크,14.5 %,* 2017 Vini di Veroneli 3 stars* 2016 Guida Vino BIO FOGLIA D'ORO(Gold)* 2015 Vinaria 5 Stars* 2014 Vert de Vin 17+/20점,
"체비코, 드라이 키스","Cevico, Dry Kiss Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=171604&lq=LIST,체비코  Cevico,이탈리아(Italy) / 에밀리아 로마냐(Emilia-Romagna),블렌드 (Blend ),,,,16~18 ℃,각종 치즈 또는 파스타 류 등과 잘 어울린다.,레뱅,1/5,2/5,4/5,3/5,"자두, 잼","파스타, 자두, 치즈",11.5 %,,
"체비코, 스위트 키스","Cevico, Sweet Kiss Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=171605&lq=LIST,체비코  Cevico,이탈리아(Italy) / 에밀리아 로마냐(Emilia-Romagna),블렌드 (Blend ),,,,16~18 ℃,향이 강한 치즈 또는 달콤한 비스킷 류 등과 잘 어울린다.,레뱅,1/5,3/5,3/5,3/5,"딸기, 자두, 잼","자두, 치즈",9 %,,
"체비코, 르미유 비노 로쏘 미디엄 스윗","Cevico, Lemieux Vino Rosso Medium Sweet",https://www.wine21.com/13_search/wine_view.html?Idx=171606&lq=LIST,체비코  Cevico,이탈리아(Italy) / 에밀리아 로마냐(Emilia-Romagna),산지오베제 (Sangiovese) 85% / 메를로 (Merlot) 15%,,,,16~18 ℃,경성치즈 또는 풍미가 강한 스파이시한 치즈 등과 잘 어울린다.,레뱅,1/5,3/5,3/5,2/5,"자두, 잼","자두, 치즈",10.5 %,,
"그레이슨 셀러, 까베르네 소비뇽","Grayson Cellars, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=171607&lq=LIST,그레이슨 셀러  Grayson Cellars,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,,100% 프렌치 오크 숙성,16~18 ℃,"오븐에 구운 스테이크, 양고기 등 각종 육류 등과 잘 어울린다.",레뱅,1/5,2/5,4/5,4/5,오크,"스테이크, 양고기",13.9 %,"*2012 – “Top Value”, The Wine Advocate*2011 – “Top Value”, The Wine Advocate*2011 – “Best Buy”, Wine Enthusiast*2009 – “Top Value”, The Wine Advocate*2008 – “Top Value”, The Wine Advocate*2008 – “50 Super Domestic Wine Value”, The Wine Advocate*2007 – “Top Value”, The Wine Advocate*2006 – “Top Value”, The Wine Advocate*2005 – “Top Value”, The Wine Advocate",
"그레이슨 셀러, 파르두치 피노누아","Grayson Cellars, Parducci Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=171608&lq=LIST,그레이슨 셀러  Grayson Cellars,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County),피노 누아 (Pinot Noir) 100%,,,,14~16 ℃,"구운 연어, 돼지 갈비, 구운 육류 등과 잘 어울린다.",레뱅,1/5,3/5,2/5,2/5,"딸기, 삼나무","돼지, 연어",14.5 %,*2018 Wine&Spirits Top 100 Best Buy,
"그레이슨 셀러, 프리시전 나파 밸리 까베르네 소비뇽","Grayson Cellars, Precision Napa Valley Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=171609&lq=LIST,그레이슨 셀러  Grayson Cellars,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,,"오크 배럴(뉴오크 60%, 뉴트럴 40%) 15개월 숙성",16~18 ℃,"소고기 스튜, 치킨 로스트, 치즈 등 무거운 육류 요리 등과 잘 어울린다.",레뱅,1/5,3/5,2/5,2/5,오크,"치킨, 치즈",14.5 %,,
보데가스 까레 띤또 소브레 리아스,Bodegas Care Tinto Sobre Lias,https://www.wine21.com/13_search/wine_view.html?Idx=171610&lq=LIST,보데가스 카레  Bodegas Care,스페인(Spain) / 까리네냐(Carinena),가르나차  (Garnacha) 75% / 시라/쉬라즈 (Syrah/Shiraz) 25%,,,,16~18 ℃,"삼겹살, 목살 구이, 목살 스테이크, 한식 중에서 떡갈비, 돼지 불고기, 잡채 등과 잘 어울린다.",레뱅,1/5,3/5,4/5,3/5,,스테이크,13.5 %,*2020 : Mundus Vini - 은메달*2019 : Berliner Wine Trophy - 금메달*2019 : Concours Mondial de Bruxelles - 금메달,
"디오라, 샤르도네","Diora, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171611&lq=LIST,디오라  Diora,미국(U.S.A) / 캘리포니아(California) / 몬터레이 카운티(Monterey County) / 몬터레이(Monterey),샤르도네 (Chardonnay),,,14개월 숙성 (45% 새오크),10~12 ℃,,,1/5,4/5,3/5,1/5,"라임, 파인애플, 오크, 크림",,14~15 %,,
"리유 디, 카베르네 프랑","Lieu Dit, Cabernet Franc",https://www.wine21.com/13_search/wine_view.html?Idx=171612&lq=LIST,리유 디  Lieu Dit,미국(U.S.A) / 캘리포니아(California) / 산타 바바라 카운티(Santa Barbara County) / 산타 이네스 밸리(Santa Ynez Valley),카베르네 프랑 (Cabernet Franc),,Whole cluster fermentation,,,버섯 베이스의 요리와 잘 어울린다.,,1/5,4/5,3/5,3/5,"체리, 라벤더, 후추",버섯,,,
"밤 시리즈 와인즈, 버터리 밤 샤도네이","Bomb Series Wines, Buttery Bomb Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171613&lq=LIST,밤 시리즈 와인즈  Bomb Series Wines,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay),Californian Chardonnay,,미국 오크 배럴 숙성 9개월,8~10 ℃,,동원와인플러스,1/5,3/5,4/5,1/5,,,13~14 %,,
베리 밤 레드,Berry Bomb Red,https://www.wine21.com/13_search/wine_view.html?Idx=171614&lq=LIST,밤 시리즈 와인즈  Bomb Series Wines,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz) / 무르베드르 (Mourvedre),Californian Red Blend,,미국 오크 배럴 숙성 12개월,16~18 ℃,"바베큐버거, 블루치즈와 잘 어울린다.",동원와인플러스,1/5,3/5,4/5,4/5,"체리, 배, 오크",,13~14 %,,
"미라벤토, 모스카토 핑크","Miravento, Moscato Pink",https://www.wine21.com/13_search/wine_view.html?Idx=171615&lq=LIST,미라벤토  Miravento,이탈리아(Italy) / 피에몬테(Piemonte),모스카토  (Moscato ),,,,6~8 ℃,타르트나같은 디저트 종류나 패스츄리 같은 빵과 잘 어울린다.,,3/5,3/5,2/5,1/5,꽃,,6~7 %,,
"미라벤토, 모스카토 스트로베리","Miravento, Moscato Strawberry",https://www.wine21.com/13_search/wine_view.html?Idx=171616&lq=LIST,미라벤토  Miravento,이탈리아(Italy) / 피에몬테(Piemonte),모스카토  (Moscato ),,,,8~10 ℃,모든 디저트 종류와 잘 어울린다.,,3/5,3/5,2/5,1/5,딸기,디저트,5~6 %,,
"미라벤토, 모스카토 피치","Miravento, Mocato Peach",https://www.wine21.com/13_search/wine_view.html?Idx=171617&lq=LIST,미라벤토  Miravento,이탈리아(Italy) / 피에몬테(Piemonte),모스카토  (Moscato ),,,,8~10 ℃,모든 디저트 종류와 잘 어울린다.,,3/5,3/5,2/5,1/5,복숭아,"복숭아, 디저트",5~6 %,,
"미라벤토, 모스카토 리치","Miravento, Moscato Lychee",https://www.wine21.com/13_search/wine_view.html?Idx=171618&lq=LIST,미라벤토  Miravento,이탈리아(Italy) / 피에몬테(Piemonte),모스카토  (Moscato ),,,,8~10 ℃,모든 디저트 종류와 잘 어울린다.,,3/5,3/5,2/5,1/5,리치,디저트,5~6 %,,
"하셀그로브, 더 크러스","Haselgrove, The Cruth",https://www.wine21.com/13_search/wine_view.html?Idx=171619&lq=LIST,하셀그로브 와이너리  Haselgrove Winery,호주(Australia) / 사우스 오스트레일리아(South Australia),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,"서로 다른 포도밭 2곳에서 포도를 수확하여 파쇄하지 않고 (가지만 제거), 22~28도에서 발효",새 오크통과 1년 & 2년 사용한 오크통에서  18개월 동안 숙성 진행,16~18 ℃,,,1/5,3/5,4/5,5/5,꽃,,14~15 %,,
"라스 비노, 골든 걸","L.A.S Vino, Golden Girl",https://www.wine21.com/13_search/wine_view.html?Idx=171620&lq=LIST,라스 비노  L.A.S Vino,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir) / 그르나슈 (Grenache),,,,8~10 ℃,,,1/5,3/5,2/5,2/5,,,14~15 %,,
"킬리힐, 파트너 시리즈 카베르네 소비뇽","Kirrihill, Partner Series Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=171621&lq=LIST,킬리힐  Kirrihill,호주(Australia) / 사우스 오스트레일리아(South Australia) / 클레어 밸리(Clare Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Australian Cabernet Sauvignon,,프렌치오크와 아메리칸 오크에서 총 20개월의 숙성,16~18 ℃,"양고기, 구운가지, 하드계열 치즈와 잘 어울린다.",,1/5,3/5,4/5,4/5,"허브, 오크","양고기, 치즈",14~15 %,,
"킬리힐, 파트너 시리즈 리슬링","Kirrihill, Partner Series Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=171622&lq=LIST,킬리힐  Kirrihill,호주(Australia) / 사우스 오스트레일리아(South Australia) / 클레어 밸리(Clare Valley),리슬링 (Riesling),Australian Riesling,"기온이 낮은 이른 아침에 포도를 수확하여 껍질과의 접촉을 최소화 하여 압착, 압착되어진 포도주스를 특정한 온도의 스테인리스 탱크에서 발효",,6~8 ℃,싱싱한 석화와 신선한 횟감들과 함께해도 훌륭한 페어링을 보여주지만 동남아의 강한 향신료를 사용하는 음식들과 잘 어울린다.,,1/5,3/5,2/5,1/5,"시트러스, 꽃, 미네랄",,11~12 %,,
"킬리힐, 파트너 시리즈 쉬라즈","Kirrihill, Partner Series Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=171623&lq=LIST,킬리힐  Kirrihill,호주(Australia) / 사우스 오스트레일리아(South Australia) / 클레어 밸리(Clare Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,Australian Shiraz,포도수확후 15일정도의 낮은 온도에서 발효,10개월동안 선별된 프렌치오크통과 아메리칸 오크통에서 숙성,16~18 ℃,훈연된 양고기와 소고기 또는 소꼬리찜과 같은 음식과 잘 어울린다.,,1/5,3/5,4/5,3/5,"블랙베리, 바닐라","소고기, 양고기",14~15 %,,
