포도품종,설명,당도,산도,바디,타닌,아로마,추천 음식
소비뇽나쎄Sauvignonasse,"소비뇽나쎄(Sauvignonasse)는 칠레 화이트 품종이다. 소비뇽나쎄는 소비뇽 블랑의 변종으로 생각하기 쉬우나 엄연히 다른 품종이다. 소비뇽나쎄는 소비뇽 블랑보다 풍미가 살짝 약하고 주로 소비뇽 블랑에 블렌딩된다. 소비뇽나쎄는 청사과, 블랙커런트 잎, 구즈베리 향이 살짝 스치며, 알코올 도수가 높은 와인이 된다.",2/5,3/5,3/5,1/5,"구즈베리, 청사과, 블랙커런트","해산물, 녹색 채소, 허브 페스토, 치미추리와 닭고기"
그린겟Gringet,그린겟(Gringet)은 프랑스 화이트 품종이다. 시큼한 산미 그리고 꽃 향과 사과(봉우리와 과일 둘 모두)의 아로마를 지닌다.,0/5,4/5,2/5,1/5,"말린 사과 껍질, 등나무, 노란 자두","치즈 퐁듀, 꿀에 구운 햄, 햄 치즈 샌드위치"
샴부르신Chambourcin,"샴부르신(Chambourcin)은 호주 뉴 사우스 웨일즈(New South Wales)지역 레드 품종이다. 호주 외엔 프랑스의 뻬이 낭떼 지역에서 발견된다. 이 품종은 보랏빛을 띠며, 자두와 체리 향을 내며, 약간의 스파이스 풍미를 낸다. 샴부르신은 쉬라즈에 색을 주기 위해 블렌딩되나 최근 들어, 단일 품종 와인으로 만들어지고 있다. 짙은 색깔, 풀잎향의 아로마, 그리고 스파이시한 검은 체리, 자두 그리고 허브의 풍미를 지닌다.",0/5,3/5,0/5,2/5,"자두, 체리, 스파이스","햄버거, 소 안심살, 비프 타코"
바르바로싸Barbarossa,바르바로싸(Barbarossa)는 이탈리아 에밀리아-로마냐의 레드 품종이다. 이 품종은 프랑스 코르시카 섬에서도 재배된다. 미디엄 바디 그리고 과일 아로마를 지닌다.,0/5,0/5,3/5,0/5,,"치즈, 게 튀김 요리, 마르게리따 피자"
닐루치오Nielluccio,닐루치오(Nielluccio)는 이탈리아의 코르시카(Corsica)지역에 널리 분포되어 자라는 레드 품종이다.,4/5,5/5,3/5,4/5,"레드 커런트, 구운 토마토, 라즈베리, 포푸리, 토기","토마토 소스를 베이스로 한 라자냐, 볼로네즈 파스타, 미트로프(Meatloaf), 구운 야채, 뇨키"
모릴론Morillon,모릴론(Morillon)은 오스트리아에서 샤르도네의 또 다른 이름이다. * 샤르도네(Chardonnay) 참고,2/5,3/5,4/5,1/5,"노란 사과, 스타푸르트, 파인애플, 버터, 분필","버터나 견과를 이용한 요리, 새우나 게 요리, 가벼운 조개류 음식, 레몬 리조또, 까망베르나 체다 치즈"
빌트바허Wildbacher,"빌트바허(Wildbacher)는 오스트리아 스티리아 서부 지역 레드 품종이다. 이 품종은 아주 진한 분홍빛 와인으로 만들어지며, 산미가 높고, 마치 소비뇽 블랑과 같은 풀과 피망향을 낸다. 대부분 출시 직후 즐기며, 오스트리아 전통 요리인 부쉔쉥크(훈연하여 소금에 절인 고기 요리)와 매우 잘 어울린다. 레드베리류와 허브 플레이버를 지녔으며 신선한 산도를 지닌 전형적인 와인",0/5,5/5,3/5,1/5,"레드 베리, 허브, 풀, 피망","부쉔 쉥크, 수육, 베이컨 요리"
아라몬Aramon,"아라몬(Aramon)은 남프랑스 레드 품종으로 19세기 크게 유행한 품종이다. 1960년대 이후 까리냥(Carignan)이 이 품종을 대체하고 있다. 이 품종으로 만든 와인은 농축되어 있으며, 흙내음, 스파이스 풍미를 내며 다소 거친 모습을 보인다. 이 품종이 몽펠리에 북쪽에서 재배된 경우, 허브 풍미를 낸다고 한다. 스파이시 하면서 흙냄새와 풀향을 지님",0/5,2/5,0/5,2/5,"흙, 스파이스, 허브","라따뚜이, 소시지와 파프리카, 치즈버거"
뮈스카텔러Muskateller,뮈스카텔러 (Muskateller)의 원산지는 그리스 혹은 이탈리아로 추정되며 매우 오래된 고대 화이트 품종이다. 독일 바덴 지역의 일부 지역에서만 소량 발견된다.,1/5,1/5,3/5,1/5,"오렌지, 배, 제스트, 생강","가벼운 크리미한 디저트, 신선한 과일, 스파이시한 아시아 음식"
칼렛Callet,"칼렛(Callet)은 스페인 레드 품종이다. 짙은 색깔, 낮은 알코올 도수, 부드러운 타닌, 그리고 달콤한 라스베리 풍미를 지닌다. 로제 와인 제조에 주로 쓰인다.",0/5,3/5,2/5,2/5,달콤한 라스베리,"후라이드 치킨, 소시지 야채 볶음, 보쌈"
블라우부르거Blauburger,"블라우부르거(Blauburger)는 오스트리아 레드 품종이다. 이 품종은 포츄기저(Portugieser)와 블라우프랜키쉬(Blaufränkisch)간의 접합종이다. 와인은 과실 향이 분명하며, 산미가 낮고 가볍다. 우수 생산자의 와인일 경우, 농축된 검은 열매향이 더 진하다.",0/5,2/5,2/5,2/5,검은 열매,"구운 치킨 케밥, 지로(그리스식 샌드위치), 구운 가지"
노이부르거Neuburger,"노이부르거(Neuburger)는 오스트리아 화이트 품종이다. 노이부르거 품종의 부모 중 하나는 피노 블랑(Pinot Blanc)이라고 알려져 있다. 오스트리아의 노이부르거는 스파이스 등 풍부한 향을 내며, 드라이한 와인부터 달콤한 와인까지 다양한 스타일로 양조된다. 달콘하거나 오프-드라이 와인으로 양조된 노이부르거는 꿀과 견과류 향이 좋으나 싱그러운 산미가 살짝 부족한 경우가 많다. 일반적으로 풀바디한 와인을 생산한다.",3/5,2/5,4/5,0/5,"꿀, 견과류","치킨 샌드위치, 새우 크림 파스타, 순대 (간, 허파 포함)"
몽두즈 블랑슈Mondeuse Blanche,"몽두즈 블랑슈(Mondeuse Blanche)는 프랑스 화이트 품종이다. 이 품종은 몽두즈 누아의 변종으로 프랑스 사부아(Savoie)와 부게이(Bugey)지역에서 주로 자한다. 이 품종의 부모 중 하나가 시라(Syrah)품종일거라는 추측이 있다. 꽃향(목련, 아카시아), 약간의 스파이시 한 아로마를 지님",3/5,3/5,0/5,1/5,"목련, 아카시아","훈제 송어 튀김, 치킨 프리카세"
두라스Duras,"두라스(Duras)는 프랑스 남서부 레드 품종이다. 와인은 색이 짙고, 네그레트(Négrette) 그리고 페르(Fer)품종에 블렌딩된다. 와인은 후추향이 나며 구조가 좋다. 힘찬느낌의 거친 풀바디 그리고 검은과일류, 말린 허브, 신선한 후추, 그리고 연기향의 아로마 를 지녔다.",0/5,4/5,5/5,3/5,"검은 과일, 말린 허브, 후추, 연기","훈제 오리 고기, 잘 익힌 돼지고기, 치킨 버거"
루피로Roupeiro,루피로(Roupeiro)는 포르투갈의 알렌테조(Alentejo)와 도우로(Douro)지역에서 재배되고 있는 화이트 포도 품종이다. 도우로에서는 코데가(Codega)로 알려져 있으며 시리아(Siria)로 불리기도 한다.,1/5,3/5,3/5,1/5,"레몬, 멜론, 복숭아, 오렌지, 월계수","연어, 렌틸 수프, 타르타르 소스와 샐러드, 치즈, 아시아음식"
프루로터 펠트리너Fruhroter Veltliner,프루로터 펠트리너(Fruhroter Veltliner)는 오스트리아 레드 품종이다. 아몬드 아로마와 다소 풀잎향과 라이트한 레몬의 풍미를 지닌다.,0/5,0/5,0/5,3/5,"레몬, 아몬드, 풀잎","탄두리 치킨, 송어 구이, 분짜, 갈비찜"
모레토Moreto,"모레토(Moreto)는 포르투갈의 렌테주(Alentejo) 지역에서 생산되는 레드 품종이다. 이 품종은 중성적인 특징의 와인을 만든다. 모레토는 람부르스카 디 알레산드리아 (Lambrusca di Alessandria), 카마라테 틴토(Camarate Tinto), 바가(Baga) and 무레토(Mureto)등의 품종명과 동일한 품종으로 알려져 있다.",,,,,"블랙 과일, 베리류",
므츠바네 카후리Mtsvane Kakhuri,"므츠바네 카후리(Mtsvane Kakhuri)는 '카헤티에서 온 녹색(청포도)'라는 의미로 르카치텔리보다 더 오래된 품종이다. 므츠바네 카후리는 므츠바네 품종의 6가지 변종 중 하나이며, 5개 잎을 지니며 짙은 녹색을 띤다. 므츠바네 카후리는 석회질 토양을 선호하며, 당도를 쉽게 축적하면서 높은 산도를 유지해 달콤한 주정 강화 와인에 적합하다. 이 품종은 환경에 민감해 세심하게 재배해야 하며 르카치텔리보다 빨리 수확한다.",3/5,4/5,0/5,1/5,"신선한 흰 복숭아, 꽃, 감귤류 및 열대 과실, 가벼운 소금 같은 미네랄","해산물, 샐러드, 염소 치즈"
크라후나Krakhuna,"크라후나(Krakhuna)는 조지아 서부 이메레티 토착 화이트 품종이다. 이름은 '바삭바삭하다'는 지역 방언에서 유래했다. 다양한 토양에서 잘 자라고 중간에서 높은 수확량을 지니며, 산도를 잘 유지하면서 당도를 축적한다. 크라후나는 유럽과 전통 방식으로 모두 발효되는데, 어떤 방식으로 만들었든 매우 잘 익은 바나나, 살구 향을 지니며, 촐리코우리보다 묵직하고 깊이 있는 맛을 낸다.",3/5,3/5,5/5,1/5,"익은 바나나, 살구, 분필, 열대 과일, 허브","송어 프리터, 카라멜 타르트"
치츠카Tsitska,"치츠카(Tsitska)는 이메레티 상부와 중부 전역에서 재배되는 백포도 품종으로 이름은 치스헤(Tsitskhe) 또는 치티스키우리(Tsitiskiuri) 마을에서 온 작은 포도라는 의미다. 종종 촐리코우리나 크라후나(Krakhuna)와 블렌딩 되며, 최근에서야 치츠카 단일 품종 와인이 등장했다. 드라이한 치츠카 와인은 모과, 멜론, 배와 같은 노란색 과실 풍미에 살짝 꿀 향이 느껴진다. 수확 시 리터당 9~12g 높은 산도를 지닌다면, 스파클",2/5,5/5,0/5,1/5,"모과, 멜론, 배, 노란색 과실 풍미, 꿀","풍기 피자, 크림 파스타"
알라다스투리Aladasturi,"알라다스투리(Aladasturi)는 조지아의 레드 품종이다. 조지아 서쪽의 흑해에 맞닿아있는, 구리아(Guria)주 알라다스트(Aladast) 마을 이름을 딴 적포도이다. 구리아와 아자라에서 재배된다. 알라다스투리는 조지아에서 전통적으로 써온 이중 가지를 지닌 고블렛 방식으로 관리된다. 이 품종은 느슨하고 통풍이 잘 되는 석회 함량이 꽤 높은 토양을 선호한다.",0/5,5/5,1/5,0/5,"검은 체리, 검은 후추, 연기, 담배 향",
촐리코우리Tsolikouri,"촐리코우리(Tsolikouri)는 조지아에서 생산되는 화이트 품종이다. 촐리코우리는 콜헤티(Kolkheti, 고대 콜치스 Colchis, 황금 양털의 땅)가 고향이며, 그 이름의 기원을 놓고 논쟁이 있지만, 일반적으로 '아내의 와인'을 의미한다고 알려졌다. 촐리코우리는 비교적 두꺼운 껍질을 지녀 일차적인 곰팡이 질환에 내성을 지녀서 조지아 서쪽 습한 기후에 적합하다. 서리에 취약하며 10월 중순에서 말에 성숙하는 만생종이다.",3/5,3/5,4/5,1/5,"노란 과일, 멜론, 미네랄, 익은 배, 자두, 복숭아, 꽃","연어 회덮밥, 치즈케이크, 견과류 요리"
치누리Chinuri,"치누리(Chinuri)는 카르틀리가 고향인 화이트 품종이다. 이름에 대해서는 여러 가설이 있다. 10세기 초 역사가인 치누리 자바키쉬빌리 4세는 치누리가 '붉은 녹색'을 뜻하는 옛날 조지아어 치니(Chini)에서 왔다고 주장하고, 평론가들은 '뛰어난' 또는 '최고'를 의미하는 조지아어인 치네불리(Chinebuli)에서 유래했다고 말한다. 실제 일부 와인 생산자는 이 품종을 치네불리라 부르기도 한다. 치누리 포도는 잘 익으면 적황록",1/5,4/5,2/5,1/5,"민트, 배, 꽃, 허브","가벼운 샐러드, 후라이드 치킨, 육전"
고룰리 므츠바네Goruli Mtsvane,"고룰리 므츠바네(Goruli Mtsvane)는 조지아의 화이트 품종이다. 이름이 '고리(Gori)에서 온 녹색'이며 므츠바네 카후리와 헷갈리지 않도록 늘 고룰리 므츠바네로 쓴다. 고룰리 므츠바네는 충적토양을 선호하며, 므츠바네 카후리보다 열대 과실 향이 섬세하고, 꽃, 라임, 은은한 꿀 향, 가벼운 바디를 지녀 신선하고 활기찰 때 마신다. 산화에 취약한 편이라 르카치텔리나 치누리를 블렌딩하기도 한다. 만약, 고룰리 므츠바",1/5,3/5,3/5,2/5,"꽃, 라임, 꿀 향",
므갈로블리쉬빌리Mgaloblishvili,,,,,,"베리, 스모키, 크렌베리, 바나나, 허브",
오츠하누리 사페레Otskhanuri Sapere,"오츠하누리 사페레(Otskhanuri Sapere)는 조지아 오래된 레드 품종이다. 이름은 '오츠하나의 색'을 의미한다. 오래전부터 오츠하누리 사페레는 촐리코우리와 함께 심어졌는데, 오츠하누리 사페레는 와인에 진한 색을 줬다. 이메레티에서 재배된다. 이 품종은 진판델처럼 포도알 크기가 불균일한 문제를 잘 일으키며, 습기에 강하다. 만생종으로 10월 중순 이후로 수확이 되며, 종종 11월에 수확할 때도 있다.",0/5,4/5,0/5,4/5,"체리, 야생 열매, 자두, 허브","비프 스테이크, 구운 버섯 요리"
샤브카피토Shavkapito,"샤브카피토(Shavkapito)는 조지아 동부 카르틀리 토착 레드 품종이다. 샤브카피토는 테루아를 잘 드러내는데, 산과 산기슭에서 자라면, 가볍고 부드럽고, 은은한 향기에 신선함을 지닌다. 샤브카피토 와인은 옅은 체리 색 또는 루비색을 띠며, 열매, 석류, 허브 향을 지니며, 사페라비보다 가볍고 조금 더 섬세하며 직선적인 느낌을 준다. 샤브카피토는 19세기 널리 재배되었지만, 면적이 크게 줄어들었다가 다시 관심을 얻고",0/5,0/5,5/5,4/5,"익은 자두, 체리, 석류, 허브 향",
피노 도니Pineau d'Aunis,피노 도니(Pineau d'Aunis)는 프랑스의 루아르 계곡과 앙주(Anjou)와 뚜렌느(Touraine) 를 중심으로 자라고 있는 레드 품종명으로 슈냉 누아(Chenin Noir)라 부르기도 한다. 앙주(Anjou)와 뚜렌느(Touraine)지역에서 레드 및 로제 와인에 카베르네 프랑과 함께 블렌딩된다. 중세시대에는 귀족적인 품종으로 인기가 있었으나 점차로 희귀한 품종이 되었다.,2/5,2/5,3/5,2/5,"후추, 라즈베리, 정향","콩피, 가벼운 샐러드, 생선요리찜, 염소 치즈"
스페르골라Spergola,,1/5,4/5,3/5,1/5,,
길리오포Gaglioppo,"갈리오포(Gaglioppo)는 이탈리아 고대 레드 품종이다. 갈리오포는 칼라브리아(Calabria), 아브루쪼(Abruzzo), 마르케(Marche) 그리고 움브리아(Umbria)에서 주로 재배된다. 와인은 색이 짙고, 알코올이 높으며, 무게감이 상당하다. 안정된 산미, 차분한 타닌, 체리와 스파이시 한 아로마 그리고 으깬 베리류의 풍미를 지니고 있다.",2/5,4/5,3/5,3/5,"체리, 스파이시, 베리류, 장미","오일 파스타, 구운 닭고기, 구운 지중해 채소 요리"
만토니코 비앙코Mantonico bianco,"만토니코 비앙코(Mantonico Bianco)는 주로 이탈리아 남부의 칼라브리아 지역에서 발견되는 청포도 품종이다. 이탈리아의 다른 포도 품종만큼 널리 알려져 있지는 않지만, 현지 포도 재배에 독특한 의미를 지닌다.",,,,,,
에나티오Enantio,"에나티오(Enantio)는 이탈리아 레드 품종이다. 밝은 루비 색깔, 높은 산미, 확연한 향신료, 라즈 베리와 붉은 체리의 아로마를 지닌다.",0/5,5/5,4/5,3/5,"향신료, 라즈 베리, 체리","리코타 치즈 샐러드, 소고기 버거, 육회"
템프라니요 블랑코Tempranillo Blanco,"템프라니요 블랑코(Tempranillo Blanco)는 스페인 출신의 희귀한 흰 포도 품종이다. 이 포도는 원래 템프라니요(Tempranillo), 스페인에서 가장 유명하고 널리 재배되는 레드 와인 포도 품종의 돌연변이에서 유래했다.",1/5,3/5,2/5,1/5,"백후추, 배, 열대과일",
브란첼라오Brancellao,브란첼라오(Brancellao)는 스페인의 토착 품종으로 갈리시아 (Galicia)지역에서 생산되었으며 포르투갈 북부 지역에서도 생산되었지만 지금은 거의 사라진 품종이라 할 수 있다.,1/5,3/5,3/5,2/5,"딸기, 바이올렛",
슈냉 누아Chenin Noir,피노도니 (Pineau d'Aunis) 의 동의어,2/5,2/5,3/5,2/5,"후추, 라즈베리, 정향","콩피, 가벼운 샐러드, 생선요리찜, 염소 치즈"
히흐비Khikhvi,"히흐비(Khikhvi)는 조지아의 카헤티 지역에서 널리 자라며 화이트 품종이다. 르카치텔리, 므츠바네와 함께 카헤티 3대 백포도 품종이다. 이름의 기원은 가설도 없다. 히흐비는 조지아에서 생산량이 낮은 품종 중 하나로 르카치텔리 절반 정도다. 히흐비는 드라이, 세미 스위트, 스위트, 주정 강화 와인으로 생산된다. 히흐비 와인은 향기로운데 야생 꽃, 살구 같은 잘 익은 노란 과실, 항상 꿀 냄새를 지닌다. 크베브리에서",3/5,3/5,3/5,1/5,"야생 꽃, 살구, 노란 과실, 꿀",
