와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,음용온도,추천음식,당도,산도,바디,타닌,아로마,음식매칭,등급,기타정보,수입사,스타일,알코올,숙성,양조
"울쉬드, 모스카토","Woolshed, Moscato",https://www.wine21.com/13_search/wine_view.html?Idx=173863&lq=LIST,울쉬드  Woolshed,호주(Australia) / 빅토리아(Victoria),모스카토  (Moscato ),6~8 ℃,,2/5,2/5,2/5,1/5,"청사과, 열대과일, 리치, 꽃, 민트","떡볶이, 매운음식, 튀김, 식전주, 샐러드, 열대과일, 복숭아, 과일, 타르트, 케이크, 초콜렛",,"* Woolshed(양털 깎는 헛간)는 호주의 역사와 경제, 관습에 깊이 연관되어 있으며, 호주의 상징 중 하나입니다. 광대한 대자연 속에 서 있는 울쉬드는 호주의 역사에서 특별한 위치를 차지하고 있으며 호주인의 투지, 결단력, 노력의 상징이기도 합니다. 따뜻하며 누구에게나 열려 있는 마음의 고향과 같은 곳으로 Woolshed Wine이 추구 하는 것과 매우 닮아 있습니다. Woolshed Wine은 세계 어디서든 누구나 부담없이 편안하게 마실 수 있는 호주 하우스 와인 브랜드입니다. 울쉬드 와인은 당신을 일상의 단순한 즐거움으로 초대합니다.",콤마 와인,,7~8 %,,"빅토리아의 머레이 달링에 위치한 에스테이트 포도밭에서 뮈스카 품종의 향이  최고조에 달했을 때, 단단하고 과즙이 많을 때 수확. 스테인레스 스틸 탱크에서 발효하며 알코올 도수가 7.5도에 달했을 때 발효를 중단."
"장 깅글링거, 빌","Jean Ginglinger, Bihl",https://www.wine21.com/13_search/wine_view.html?Idx=173864&lq=LIST,장 깅글링거  Jean Ginglinger,프랑스(France) / 알자스(Alsace),리슬링 (Riesling) / 실바너 (Silvaner),,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,,"샐러드, 치즈",,,,,,,
"장 깅글링거, 게뷔르츠트라미너","Jean Ginglinger, Gewurztraminer",https://www.wine21.com/13_search/wine_view.html?Idx=173865&lq=LIST,장 깅글링거  Jean Ginglinger,프랑스(France) / 알자스(Alsace),게뷔르츠트라미너 (Gewurztraminer),,"샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,5/5,1/5,"살구, 시트러스, 열대과일, 꽃","샐러드, 치즈",,,,,,,
"장 깅글링거,피노누아","Jean Ginglinger, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=173866&lq=LIST,장 깅글링거  Jean Ginglinger,프랑스(France) / 알자스(Alsace),피노 누아 (Pinot Noir),14~16 ℃,"소고기, 돼지고기, 닭고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 꽃, 미네랄, 오크","소고기, 돼지고기, 닭고기",,,,,,,
"장 깅글링거, 케이에스","Jean Ginglinger, KS",https://www.wine21.com/13_search/wine_view.html?Idx=173867&lq=LIST,장 깅글링거  Jean Ginglinger,프랑스(France) / 알자스(Alsace),피노 그리 (Pinot Gris) / 피노 누아 (Pinot Noir),12~14 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"라스베리, 딸기, 체리, 말린과일, 꽃","샐러드, 치즈",,,,,,,
"장 깅글링거, 피노누아 상스테인","Jean Ginglinger, Pinot Noir Sandstein",https://www.wine21.com/13_search/wine_view.html?Idx=173868&lq=LIST,장 깅글링거  Jean Ginglinger,프랑스(France) / 알자스(Alsace),피노 누아 (Pinot Noir),14~16 ℃,"돼지고기,소고기, 닭고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 크랜베리, 꽃, 오크","소고기, 돼지고기, 닭고기",,,,,,,
"장 깅글링거, 피노누아 슈타이너","Jean Ginglinger, Pinot Noir Steiner",https://www.wine21.com/13_search/wine_view.html?Idx=173869&lq=LIST,장 깅글링거  Jean Ginglinger,프랑스(France) / 알자스(Alsace),피노 누아 (Pinot Noir),14~16 ℃,"돼지고기,소고기, 닭고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 꽃, 오크","소고기, 돼지고기, 닭고기",,,,,,,
"장 깅글링거, 게뷔르츠트라미너 마세라시옹 슈타이너","Jean Ginglinger, Gewurztraminer Maceration Steiner",https://www.wine21.com/13_search/wine_view.html?Idx=173870&lq=LIST,장 깅글링거  Jean Ginglinger,프랑스(France) / 알자스(Alsace),게뷔르츠트라미너 (Gewurztraminer),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,5/5,1/5,"살구, 시트러스, 열대과일, 리치, 꽃, 미네랄, 버섯","샐러드, 치즈",,,,,,,
"장 깅글링거, 게뷔르츠트라미너 슈타이너","Jean Ginglinger, Gewurztraminer Steiner",https://www.wine21.com/13_search/wine_view.html?Idx=173871&lq=LIST,장 깅글링거  Jean Ginglinger,프랑스(France) / 알자스(Alsace),게뷔르츠트라미너 (Gewurztraminer),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",2/5,4/5,5/5,1/5,"리치, 열대과일, 꽃, 미네랄, 흙","샐러드, 치즈",,,,,,,
"장 깅글링거, 리슬링 슈타이너 인퓨젼","Jean Ginglinger, Riesling Steiner Infusion",https://www.wine21.com/13_search/wine_view.html?Idx=173872&lq=LIST,장 깅글링거  Jean Ginglinger,프랑스(France) / 알자스(Alsace),리슬링 (Riesling),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,5/5,3/5,1/5,"청사과, 시트러스, 꽃, 미네랄, 석유","샐러드, 치즈",,,,,,,
"라미디아, 비앙케토","Lammidia, Bianchetto",https://www.wine21.com/13_search/wine_view.html?Idx=173873&lq=LIST,라미디아  Lammidia,이탈리아(Italy) / 아브루쪼(Abruzzo),트레비아노 (Trebbiano),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"사과, 시트러스, 꽃, 아몬드","샐러드, 치즈",,,,,,,
"라미디아, 프렉트","Lammidia, Frekt",https://www.wine21.com/13_search/wine_view.html?Idx=173874&lq=LIST,라미디아  Lammidia,이탈리아(Italy) / 아브루쪼(Abruzzo),페코리노 (Pecorino),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 사과, 시트러스, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"라미디아, 비앙코 앙포라","Lammidia, Bianco Anfora",https://www.wine21.com/13_search/wine_view.html?Idx=173875&lq=LIST,라미디아  Lammidia,이탈리아(Italy) / 아브루쪼(Abruzzo),트레비아노 (Trebbiano),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"배, 복숭아, 시트러스, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"라미디아, 판다","Lammidia, Panda",https://www.wine21.com/13_search/wine_view.html?Idx=173876&lq=LIST,라미디아  Lammidia,이탈리아(Italy) / 아브루쪼(Abruzzo),모스카토 로사 (Moscato Rosa),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",3/5,4/5,3/5,1/5,"복숭아, 시트러스, 열대과일, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"라미디아, 포지빌멘트","Lammidia, Possibilmente",https://www.wine21.com/13_search/wine_view.html?Idx=173877&lq=LIST,라미디아  Lammidia,이탈리아(Italy) / 아브루쪼(Abruzzo),페코리노 (Pecorino),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"청사과, 배, 시트러스, 열대과일, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"라미디아, 로쉬","Lammidia, Rosh",https://www.wine21.com/13_search/wine_view.html?Idx=173878&lq=LIST,라미디아  Lammidia,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano) / 페코리노 (Pecorino) / 트레비아노 (Trebbiano),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"배, 시트러스, 열대과일, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"라미디아, 로쏘","Lammidia, Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=173879&lq=LIST,라미디아  Lammidia,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),16~18 ℃,"돼지고기,소고기, 닭고기 등과 잘 어울린다.",1/5,4/5,4/5,3/5,"블랙체리, 블랙베리, 말린과일, 후추, 오크, 흙","소고기, 돼지고기, 닭고기",,,,,,,
"라미디아, 피노 네로","Lammidia, Pino Nero",https://www.wine21.com/13_search/wine_view.html?Idx=173880&lq=LIST,라미디아  Lammidia,이탈리아(Italy) / 아브루쪼(Abruzzo),피노 네로 (Pinot Nero),14~16 ℃,"돼지고기,소고기, 닭고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 꽃, 오크","소고기, 돼지고기, 닭고기",,,,,,,
"티네사, 루비체","Tinessa, Rubice",https://www.wine21.com/13_search/wine_view.html?Idx=173881&lq=LIST,티네사  Tinessa,이탈리아(Italy) / 깜빠니아(Campania),팔랑기나 (Falanghina),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"시트러스, 열대과일, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"티네사, 비노 로쏘","Tinessa, Vino Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=173882&lq=LIST,티네사  Tinessa,이탈리아(Italy) / 깜빠니아(Campania),알리아니코 (Aglianico),16~18 ℃,"돼지고기,소고기, 닭고기 등과 잘 어울린다.",1/5,4/5,5/5,3/5,"블랙체리, 블랙베리, 체리, 꽃, 오크, 버섯","소고기, 돼지고기, 닭고기",,,,,,,
"노비스,주 드 라 폴리 펫 낫","Novice, Jus de la Folie Pet Nat",https://www.wine21.com/13_search/wine_view.html?Idx=173883&lq=LIST,노비스  Novice,프랑스(France) / 쥐라(Jura),피노 누아 (Pinot Noir) / 피노 그리 (Pinot Gris),8~10 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,5/5,3/5,1/5,"크랜베리, 체리, 꽃, 요거트","샐러드, 치즈",,,,,,,
"라미디아, 파파라짜","Lammidia, Paparazza",https://www.wine21.com/13_search/wine_view.html?Idx=173884&lq=LIST,라미디아  Lammidia,이탈리아(Italy) / 아브루쪼(Abruzzo),트레비아노 (Trebbiano) / 페코리노 (Pecorino) / 샤르도네 (Chardonnay) / 트라미너 (Traminer),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"레드커런트, 딸기, 꽃, 피망, 오크","샐러드, 치즈",,,,,,,
"라미디아, 미셀라","Lammidia, Miscela",https://www.wine21.com/13_search/wine_view.html?Idx=173885&lq=LIST,라미디아  Lammidia,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano) / 트레비아노 (Trebbiano) / 페코리노 (Pecorino) / 파세리나 (Passerina) / 말바시아 (Malvasia),14~16 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"체리, 꽃, 미네랄, 허브","샐러드, 치즈",,,,,,,
"라미디아, 65125","Lammidia, 65125",https://www.wine21.com/13_search/wine_view.html?Idx=173886&lq=LIST,라미디아  Lammidia,이탈리아(Italy) / 아브루쪼(Abruzzo),시라/쉬라즈 (Syrah/Shiraz),16~18 ℃,"소고기, 돼지고기, 닭고기 등과 잘 어울린다.",1/5,4/5,5/5,2/5,"블랙베리, 딸기, 블루베리, 꽃, 후추, 오크","소고기, 돼지고기, 닭고기",,,,,,,
"노비스, 메르씨","Novice, Merci",https://www.wine21.com/13_search/wine_view.html?Idx=173887&lq=LIST,노비스  Novice,프랑스(France) / 쥐라(Jura),뿔사르 (Poulsard),16~18 ℃,"소고기, 돼지고기, 닭고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"딸기, 체리, 미네랄, 오크","소고기, 돼지고기, 닭고기",,,,,,,
"오투와이, 비눔 비보","O2Y, Vinum Bibo",https://www.wine21.com/13_search/wine_view.html?Idx=173888&lq=LIST,오투와이  O2Y,프랑스(France) / 쥐라(Jura),가메이 (Gamay),14~16 ℃,"소고기, 돼지고기, 닭고기 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"체리, 딸기, 말린과일, 꽃, 후추, 오크","소고기, 돼지고기, 닭고기",,,,,,,
"오투와이, 푸르꾸아 논","O2Y, Pourquoi Non",https://www.wine21.com/13_search/wine_view.html?Idx=173889&lq=LIST,오투와이  O2Y,프랑스(France) / 쥐라(Jura),피노 누아 (Pinot Noir) / 피노 그리 (Pinot Gris),12~14 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"체리, 시트러스, 꽃","샐러드, 치즈",,,,,,,
"비이예, 샤르도네","Villet, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=173890&lq=LIST,비이예  Villet,프랑스(France) / 쥐라(Jura),샤르도네 (Chardonnay),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"시트러스, 열대과일, 미네랄, 토스트","샐러드, 치즈",,,,,,,
"비이예, 사바냥","Villet, Savagnin",https://www.wine21.com/13_search/wine_view.html?Idx=173891&lq=LIST,비이예  Villet,프랑스(France) / 쥐라(Jura),사바냥 (Savagnin),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,4/5,1/5,"말린과일, 꽃, 미네랄, 석유, 요거트","샐러드, 치즈",,,,,,,
"비이예, 풀사르드","Villet, Poulsard",https://www.wine21.com/13_search/wine_view.html?Idx=173892&lq=LIST,비이예  Villet,프랑스(France) / 쥐라(Jura),뿔사르 (Poulsard),16~18 ℃,"소고기, 돼지고기, 닭고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"딸기, 체리, 오크","소고기, 돼지고기, 닭고기",,,,,,,
"실방 디티에, 라 페를리","Sylvain Dittiere, La Perlee",https://www.wine21.com/13_search/wine_view.html?Idx=173893&lq=LIST,실방 디티에  Sylvain Dittiere,프랑스(France) / 루아르(Loire),슈냉 블랑 (Chenin Blanc),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,5/5,3/5,1/5,"시트러스, 열대과일, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"실방 디티에, 르 소 미뇽","Sylvain Dittiere, Le Saut Mignon",https://www.wine21.com/13_search/wine_view.html?Idx=173894&lq=LIST,실방 디티에  Sylvain Dittiere,프랑스(France) / 루아르(Loire),소비뇽 블랑 (Sauvignon Blanc),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,5/5,3/5,1/5,"시트러스, 열대과일, 꽃, 미네랄, 피망","샐러드, 치즈",,,,,,,
"실방 디티에, 레 푸슈 루즈","Sylvain Dittiere, Les Pouches Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173895&lq=LIST,실방 디티에  Sylvain Dittiere,프랑스(France) / 루아르(Loire),카베르네 프랑 (Cabernet Franc),14~16 ℃,"소고기, 돼지고기, 닭고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"레드커런트, 체리, 딸기, 꽃, 피망, 후추, 오크","소고기, 돼지고기, 닭고기",,,,,,,
"실방 디티에, 레 꼬르미르","Sylvain Dittiere, Les Cormiers",https://www.wine21.com/13_search/wine_view.html?Idx=173896&lq=LIST,실방 디티에  Sylvain Dittiere,프랑스(France) / 루아르(Loire),카베르네 프랑 (Cabernet Franc),14~16 ℃,"소고기, 돼지고기, 닭고기 등과 잘 어울린다.",1/5,3/5,4/5,2/5,"레드커런트, 딸기, 라스베리, 꽃, 피망, 오크","소고기, 돼지고기, 닭고기",,,,,,,
"레 빈냐 데 바바스, 브루탈","Les Vignes de Babass, Brutal",https://www.wine21.com/13_search/wine_view.html?Idx=173897&lq=LIST,레 빈냐 데 바바스  Les Vignes de Babass,프랑스(France) / 루아르(Loire),슈냉 블랑 (Chenin Blanc),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,,"샐러드, 치즈",,,,,,,
"레 빈냐 데 바바스, 조셉 앤 프랑수아즈 블랑","Les Vignes de Babass, Joseph Anne Francoise Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173898&lq=LIST,레 빈냐 데 바바스  Les Vignes de Babass,프랑스(France) / 루아르(Loire),슈냉 블랑 (Chenin Blanc),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,5/5,3/5,1/5,"시트러스, 꽃, 허브","샐러드, 치즈",,,,,,,
"레 빈냐 데 바바스, 그롤 앤 롤","Les Vignes de Babass, Groll N Roll",https://www.wine21.com/13_search/wine_view.html?Idx=173899&lq=LIST,레 빈냐 데 바바스  Les Vignes de Babass,프랑스(France) / 루아르(Loire),그롤로 누아 (Grolleau Noir),16~18 ℃,"소고기, 돼지고기, 닭고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 꽃, 미네랄, 버섯","소고기, 돼지고기, 닭고기",,,,,,,
"레 빈냐 데 바바스, 오 봉 세쿠르","Les Vignes de Babass, Au Bon Secours",https://www.wine21.com/13_search/wine_view.html?Idx=173900&lq=LIST,레 빈냐 데 바바스  Les Vignes de Babass,프랑스(France) / 루아르(Loire),가메이 (Gamay),14~16 ℃,"소고기, 돼지고기, 양고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 꽃, 후추, 오크, 흙","소고기, 돼지고기, 닭고기",,,,,,,
"레 빈냐 데 바바스, 혹 캅","Les Vignes de Babass, Roc Cab",https://www.wine21.com/13_search/wine_view.html?Idx=173901&lq=LIST,레 빈냐 데 바바스  Les Vignes de Babass,프랑스(France) / 루아르(Loire),카베르네 프랑 (Cabernet Franc),16~18 ℃,"소고기, 돼지고기, 닭고기 등과 잘 어울린다.",1/5,4/5,4/5,2/5,"레드커런트, 체리, 딸기, 말린과일, 꽃, 오크","소고기, 돼지고기, 닭고기",,,,,,,
"요요, 헤스타케","Yoyo, Restake",https://www.wine21.com/13_search/wine_view.html?Idx=173902&lq=LIST,요요  Yoyo,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 바뉠스(Banyuls),그르나슈 블랑 (Grenache Blanc) / 까리냥 블랑 (Carignan Blanc),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,5/5,1/5,"사과, 시트러스, 꽃, 오크","샐러드, 치즈",,,,,,,
"요요, 쉬메. 알","Yoyo, Chime.R",https://www.wine21.com/13_search/wine_view.html?Idx=173903&lq=LIST,요요  Yoyo,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 바뉠스(Banyuls),그르나슈 (Grenache) / 까리냥 (Carignan/Carignane),16~18 ℃,"소고기, 돼지고기, 닭고기 등과 잘 어울린다.",1/5,4/5,5/5,3/5,"블랙체리, 블랙베리, 체리, 후추, 오크, 버섯","소고기, 돼지고기, 닭고기",,,,,,,
"요요, 케이엠31","Yoyo, KM31",https://www.wine21.com/13_search/wine_view.html?Idx=173904&lq=LIST,요요  Yoyo,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 바뉠스(Banyuls),그르나슈 그리 (Grenache Gris) / 그르나슈 블랑 (Grenache Blanc),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"열대과일, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"요요, 라트랑쉐","Yoyo, La Tranchee",https://www.wine21.com/13_search/wine_view.html?Idx=173905&lq=LIST,요요  Yoyo,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 바뉠스(Banyuls),그르나슈 (Grenache),16~18 ℃,"소고기, 돼지고기, 닭고기 등과 잘 어울린다.",1/5,3/5,5/5,2/5,"체리, 딸기, 꽃, 미네랄, 후추, 오크, 버섯","소고기, 돼지고기, 닭고기",,,,,,,
"패트릭 보우주, 엠","Patrick Bouju, Blanc M",https://www.wine21.com/13_search/wine_view.html?Idx=173906&lq=LIST,패트릭 보우주  Patrick Bouju,프랑스(France),믈롱 드 부르고뉴 (Melon de Bourgogne),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"시트러스, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"패트릭 보우주, 지엠","Patrick Bouju, Blanc GM",https://www.wine21.com/13_search/wine_view.html?Idx=173907&lq=LIST,패트릭 보우주  Patrick Bouju,프랑스(France),뮈스까 (Muscat) / 그르나슈 그리 (Grenache Gris) / 리슬링 (Riesling) / 오쎄후와 (Auxerrois),10~12 ℃,"샐러드, 와인 등과 잘 어울린다.",1/5,3/5,4/5,1/5,"시트러스, 열대과일, 꽃, 허브","샐러드, 치즈",,,,,,,
"패트릭 보우주, 알","Patrick Bouju, Blanc R",https://www.wine21.com/13_search/wine_view.html?Idx=173908&lq=LIST,패트릭 보우주  Patrick Bouju,프랑스(France),리슬링 (Riesling),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,5/5,3/5,1/5,"시트러스, 꽃, 미네랄, 석유","샐러드, 치즈",,,,,,,
"패트릭 보우주, 몰","Patrick Bouju, Rouge Mol",https://www.wine21.com/13_search/wine_view.html?Idx=173909&lq=LIST,패트릭 보우주  Patrick Bouju,프랑스(France),시라/쉬라즈 (Syrah/Shiraz) / 까리냥 (Carignan/Carignane) / 메를로 (Merlot) / 쌩쏘 (Cinsault) / 뮈스까 (Muscat) / 가메이 (Gamay),16~18 ℃,"소고기, 돼지고기, 닭고기 등과 잘 어울린다.",1/5,4/5,5/5,3/5,"블랙베리, 체리, 블루베리, 꽃, 미네랄, 후추, 오크, 버섯, 흙","소고기, 돼지고기, 닭고기",,,,,,,
